hibernate,CDDL-GPL-2-CP
hibernate4lib,CDDL-GPL-2-CP
hibernate4lib, LGPL-2.1
hibernatelib,CDDL-GPL-2-CP
hibernatelib, LGPL-2.1
hibernateweb,CDDL-GPL-2-CP
html,CDDL-GPL-2-CP
html.angular,CDDL-GPL-2-CP
html.custom,CDDL-GPL-2-CP
html.editor,CDDL-GPL-2-CP
html.editor, W3C (the original at http://www.w3.org/TR/1999/REC-html401-19991224/)
html.editor.lib,CDDL-GPL-2-CP
html.knockout,CDDL-GPL-2-CP
html.lexer,CDDL-GPL-2-CP
html.ojet,CDDL-GPL-2-CP
html.parser,CDDL-GPL-2-CP
html.parser, HTML5DOC
html.parser, MIT-html5-parser
html.parser, MIT-icu4j
html.validation,CDDL-GPL-2-CP
html.validation, MIT-html5-datatypes
html.validation, Apache-2.0
html.validation, BSD-iri
html.validation, MIT-isorelax
html.validation, BSD-jing
html.validation, Apache-2.0
html.validation, MIT-non-schema
html.validation, MPL-1.0
html.validation, MIT-validator
httpserver,CDDL-GPL-2-CP
httpserver, Apache-1.1
hudson,CDDL-GPL-2-CP
hudson.ant,CDDL-GPL-2-CP
hudson.git,CDDL-GPL-2-CP
hudson.maven,CDDL-GPL-2-CP
hudson.mercurial,CDDL-GPL-2-CP
hudson.php,CDDL-GPL-2-CP
hudson.subversion,CDDL-GPL-2-CP
hudson.tasklist,CDDL-GPL-2-CP
hudson.ui,CDDL-GPL-2-CP
i18n,CDDL-GPL-2-CP
i18n.form,CDDL-GPL-2-CP
ide,CDDL-GPL-2-CP
ide.branding,CDDL-GPL-2-CP
ide.branding.kit,CDDL-GPL-2-CP
ide.ergonomics,CDDL-GPL-2-CP
ide.kit,CDDL-GPL-2-CP
identity.ant,CDDL-GPL-2-CP
identity.kit,CDDL-GPL-2-CP
identity.profile.api,CDDL-GPL-2-CP
identity.profile.ui,CDDL-GPL-2-CP
identity.samples,CDDL-GPL-2-CP
identity.server.manager,CDDL-GPL-2-CP
image,CDDL-GPL-2-CP
installer,CDDL-GPL-2-CP
installer, JWSv1.2.x.BCL
j2ee.ant,CDDL-GPL-2-CP
j2ee.api.ejbmodule,CDDL-GPL-2-CP
j2ee.clientproject,CDDL-GPL-2-CP
j2ee.common,CDDL-GPL-2-CP
j2ee.core,CDDL-GPL-2-CP
j2ee.core.utilities,CDDL-GPL-2-CP
j2ee.dd,CDDL-GPL-2-CP
j2ee.dd, CDDL-1.0
j2ee.dd.webservice,CDDL-GPL-2-CP
j2ee.ddloaders,CDDL-GPL-2-CP
j2ee.earproject,CDDL-GPL-2-CP
j2ee.eclipselink,CDDL-GPL-2-CP
j2ee.eclipselinkmodelgen,CDDL-GPL-2-CP
j2ee.ejbcore,CDDL-GPL-2-CP
j2ee.ejbjarproject,CDDL-GPL-2-CP
j2ee.ejbrefactoring,CDDL-GPL-2-CP
j2ee.ejbverification,CDDL-GPL-2-CP
j2ee.genericserver,CDDL-GPL-2-CP
j2ee.jboss4,CDDL-GPL-2-CP
j2ee.jpa.refactoring,CDDL-GPL-2-CP
j2ee.jpa.verification,CDDL-GPL-2-CP
j2ee.kit,CDDL-GPL-2-CP
j2ee.metadata,CDDL-GPL-2-CP
j2ee.metadata.model.support,CDDL-GPL-2-CP
j2ee.persistence,CDDL-GPL-2-CP
j2ee.persistence.kit,CDDL-GPL-2-CP
j2ee.persistenceapi,CDDL-GPL-2-CP
j2ee.platform,CDDL-GPL-2-CP
j2ee.platform, CDDL-1.0
j2ee.samples,CDDL-GPL-2-CP
j2ee.sun.appsrv,CDDL-GPL-2-CP
j2ee.sun.appsrv81,CDDL-GPL-2-CP
j2ee.sun.appsrv81, CDDL-GPL-2-CP
j2ee.sun.appsrv81, CDDL-GPL-2-CP
j2ee.sun.dd,CDDL-GPL-2-CP
j2ee.sun.ddui,CDDL-GPL-2-CP
j2ee.toplinklib,CDDL-GPL-2-CP
j2ee.toplinklib, CDDL-GPL-2-CP
j2ee.toplinklib, CDDL-1.0
j2ee.weblogic9,CDDL-GPL-2-CP
j2ee.websphere6,CDDL-GPL-2-CP
j2eeapis,CDDL-GPL-2-CP
j2eeapis, CDDL-1.0
j2eeserver,CDDL-GPL-2-CP
j2me.cdc.kit,CDDL-GPL-2-CP
j2me.cdc.platform,CDDL-GPL-2-CP
j2me.cdc.platform.bdj,CDDL-GPL-2-CP
j2me.cdc.platform.nokias80,CDDL-GPL-2-CP
j2me.cdc.platform.nsicom,CDDL-GPL-2-CP
j2me.cdc.platform.ojec,CDDL-GPL-2-CP
j2me.cdc.platform.ricoh,CDDL-GPL-2-CP
j2me.cdc.platform.semc,CDDL-GPL-2-CP
j2me.cdc.platform.sjmc,CDDL-GPL-2-CP
j2me.cdc.platform.sun,CDDL-GPL-2-CP
j2me.cdc.project,CDDL-GPL-2-CP
j2me.cdc.project.bdj,CDDL-GPL-2-CP
j2me.cdc.project.bdj, BSD
j2me.cdc.project.bdj, BSD
j2me.cdc.project.bdj, BSD
j2me.cdc.project.execui,CDDL-GPL-2-CP
j2me.cdc.project.execuiimpl,CDDL-GPL-2-CP
j2me.cdc.project.nokiaS80,CDDL-GPL-2-CP
j2me.cdc.project.nsicom,CDDL-GPL-2-CP
j2me.cdc.project.ojec,CDDL-GPL-2-CP
j2me.cdc.project.ricoh,CDDL-GPL-2-CP
j2me.cdc.project.ricoh, Apache-2.0
j2me.cdc.project.ricoh, Apache-2.0
j2me.cdc.project.ricoh, Apache-2.0
j2me.cdc.project.savaje,CDDL-GPL-2-CP
j2me.cdc.project.semc,CDDL-GPL-2-CP
j2me.cdc.project.sjmc,CDDL-GPL-2-CP
j2me.common.ant,CDDL-GPL-2-CP
j2me.keystore,CDDL-GPL-2-CP
j2me.kit,CDDL-GPL-2-CP
j2me.project,CDDL-GPL-2-CP
java.api.common,CDDL-GPL-2-CP
java.completion,CDDL-GPL-2-CP
java.debug,CDDL-GPL-2-CP
java.editor,CDDL-GPL-2-CP
java.editor.base,CDDL-GPL-2-CP
java.editor.lib,CDDL-GPL-2-CP
java.examples,CDDL-GPL-2-CP
java.freeform,CDDL-GPL-2-CP
java.guards,CDDL-GPL-2-CP
java.helpset,CDDL-GPL-2-CP
java.hints,CDDL-GPL-2-CP
java.hints.declarative,CDDL-GPL-2-CP
java.hints.declarative.test,CDDL-GPL-2-CP
java.hints.legacy.spi,CDDL-GPL-2-CP
java.hints.test,CDDL-GPL-2-CP
java.hints.ui,CDDL-GPL-2-CP
java.j2sedeploy,CDDL-GPL-2-CP
java.j2seembedded,CDDL-GPL-2-CP
java.j2seplatform,CDDL-GPL-2-CP
java.j2seprofiles,CDDL-GPL-2-CP
java.j2seproject,CDDL-GPL-2-CP
java.kit,CDDL-GPL-2-CP
java.lexer,CDDL-GPL-2-CP
java.metrics,CDDL-GPL-2-CP
java.navigation,CDDL-GPL-2-CP
java.platform,CDDL-GPL-2-CP
java.platform.ui,CDDL-GPL-2-CP
java.preprocessorbridge,CDDL-GPL-2-CP
java.project,CDDL-GPL-2-CP
java.project.ui,CDDL-GPL-2-CP
java.source,CDDL-GPL-2-CP
java.source.ant,CDDL-GPL-2-CP
java.source.base,CDDL-GPL-2-CP
java.source.compat8,CDDL-GPL-2-CP
java.source.queries,CDDL-GPL-2-CP
java.source.queriesimpl,CDDL-GPL-2-CP
java.sourceui,CDDL-GPL-2-CP
java.testrunner,CDDL-GPL-2-CP
java.testrunner.ant,CDDL-GPL-2-CP
java.testrunner.ui,CDDL-GPL-2-CP
javacard.apdu.io,CDDL-GPL-2-CP
javacard.apdu.io, Sun Technology Evaluation License
javacard.apdufile,CDDL-GPL-2-CP
javacard.common,CDDL-GPL-2-CP
javacard.console,CDDL-GPL-2-CP
javacard.filemodels,CDDL-GPL-2-CP
javacard.kit,CDDL-GPL-2-CP
javacard.oberthur,CDDL-GPL-2-CP
javacard.platform.ui,CDDL-GPL-2-CP
javacard.project,CDDL-GPL-2-CP
javacard.ri.bundle,CDDL-GPL-2-CP
javacard.ri.bundle, License Agreement for Java Card Development Kit 3.0.2 Revenue Release
javacard.ri.platform,CDDL-GPL-2-CP
javacard.spi,CDDL-GPL-2-CP
javadoc,CDDL-GPL-2-CP
javaee.api,CDDL-GPL-2-CP
javaee.api, CDDL-GPL-2-CP
javaee.api, CDDL-GPL-2-CP
javaee.api, CDDL-GPL-2-CP
javaee.api, CDDL-GPL-2-CP
javaee.api, CDDL-GPL-2-CP
javaee.beanvalidation,CDDL-GPL-2-CP
javaee.injection,CDDL-GPL-2-CP
javaee.project,CDDL-GPL-2-CP
javaee.resources,CDDL-GPL-2-CP
javaee.specs.support,CDDL-GPL-2-CP
javaee.wildfly,CDDL-GPL-2-CP
javaee7.api,CDDL-GPL-2-CP
javaee7.api, CDDL-GPL-2-CP
javaee7.api, CDDL-GPL-2-CP
javaee7.api, CDDL-GPL-2-CP
javaee7.api, CDDL-GPL-2-CP
javaee7.api, CDDL-GPL-2-CP
javaee7.api, CDDL-GPL-2-CP
javaee7.api, CDDL-GPL-2-CP
